type,latitude,longitude,alt
T,48.9825,8.39037,116.382
T,48.9826,8.39039,116.386
T,48.9826,8.39041,116.39
T,48.9826,8.39043,116.393
T,48.9827,8.39046,116.396
T,48.9827,8.39048,116.414
T,48.9827,8.3905,116.424
T,48.9827,8.39052,116.44
T,48.9828,8.39055,116.423
T,48.9828,8.39057,116.418
T,48.9828,8.3906,116.483
T,48.9829,8.39063,116.544
T,48.9829,8.39065,116.551
T,48.9829,8.39067,116.565
T,48.983,8.3907,116.589
T,48.983,8.39072,116.588
T,48.983,8.39075,116.555
T,48.9831,8.39077,116.568
T,48.9831,8.39079,116.582
T,48.9831,8.39081,116.594
T,48.9831,8.39082,116.592
T,48.9832,8.39084,116.644
T,48.9832,8.39085,116.694
T,48.9832,8.39087,116.739
T,48.9832,8.39088,116.759
T,48.9832,8.39089,116.762
T,48.9832,8.39091,116.747
T,48.9832,8.39093,116.73
T,48.9832,8.39095,116.701
T,48.9832,8.39097,116.67
T,48.9832,8.39099,116.643
T,48.9832,8.39101,116.611
T,48.9832,8.39104,116.598
T,48.9832,8.39106,116.599
T,48.9832,8.39109,116.577
T,48.9832,8.39112,116.558
T,48.9832,8.39116,116.533
T,48.9832,8.39119,116.523
T,48.9832,8.39123,116.502
T,48.9831,8.39127,116.541
T,48.9831,8.39131,116.576
T,48.9831,8.39135,116.614
T,48.9831,8.39139,116.637
T,48.9831,8.39143,116.647
T,48.9831,8.39146,116.661
T,48.9831,8.39149,116.69
T,48.983,8.39152,116.697
T,48.983,8.39155,116.704
T,48.983,8.39157,116.722
T,48.983,8.3916,116.755
T,48.983,8.39162,116.79
T,48.983,8.39165,116.794
T,48.983,8.39167,116.819
T,48.983,8.39169,116.87
T,48.983,8.39171,116.847
T,48.983,8.39173,116.817
T,48.983,8.39175,116.798
T,48.9831,8.39177,116.789
T,48.9831,8.3918,116.811
T,48.9831,8.39183,116.78
T,48.9831,8.39185,116.805
T,48.9831,8.39188,116.787
T,48.9832,8.39191,116.807
T,48.9832,8.39195,116.796
T,48.9832,8.39198,116.802
T,48.9832,8.39201,116.791
T,48.9832,8.39204,116.797
T,48.9833,8.39208,116.879
T,48.9833,8.39211,116.808
T,48.9833,8.39214,116.778
T,48.9833,8.39217,116.771
T,48.9834,8.3922,116.765
T,48.9834,8.39223,116.758
T,48.9834,8.39226,116.725
T,48.9834,8.39228,116.7
T,48.9834,8.39231,116.699
T,48.9835,8.39234,116.658
T,48.9835,8.39236,116.637
T,48.9835,8.39238,116.574
T,48.9835,8.39241,116.531
T,48.9836,8.39243,116.499
T,48.9836,8.39245,116.434
T,48.9836,8.39247,116.435
T,48.9837,8.3925,116.41
T,48.9837,8.39252,116.44
T,48.9837,8.39254,116.438
T,48.9837,8.39256,116.42
T,48.9838,8.39258,116.393
T,48.9838,8.39259,116.365
T,48.9838,8.39261,116.338
T,48.9838,8.39263,116.31
T,48.9838,8.39265,116.329
T,48.9839,8.39266,116.333
T,48.9839,8.39268,116.297
T,48.9839,8.3927,116.29
T,48.9839,8.39272,116.284
T,48.9839,8.39274,116.303
T,48.984,8.39276,116.342
T,48.984,8.39278,116.365
T,48.984,8.39279,116.354
T,48.984,8.39281,116.397
T,48.9841,8.39283,116.372
T,48.9841,8.39284,116.331
T,48.9841,8.39285,116.31
T,48.9841,8.39285,116.293
T,48.9841,8.39285,116.302
T,48.9841,8.39285,116.306
T,48.9841,8.39284,116.248
T,48.9842,8.39282,116.178
T,48.9842,8.3928,116.121
T,48.9842,8.39278,116.068
T,48.9842,8.39275,116.028
T,48.9842,8.39272,115.986
T,48.9842,8.39268,115.888
T,48.9842,8.39264,115.866
T,48.9842,8.3926,115.861
T,48.9842,8.39256,115.84
T,48.9843,8.39251,115.788
T,48.9843,8.39247,115.697
T,48.9843,8.39243,115.659
T,48.9843,8.39239,115.663
T,48.9843,8.39235,115.661
T,48.9843,8.39231,115.702
T,48.9843,8.39227,115.725
T,48.9844,8.39223,115.745
T,48.9844,8.39219,115.766
T,48.9844,8.39215,115.809
T,48.9844,8.39212,115.841
T,48.9844,8.39209,115.852
T,48.9844,8.39207,115.87
T,48.9844,8.39204,115.883
T,48.9844,8.39202,115.897
T,48.9844,8.39201,115.907
T,48.9844,8.392,115.924
T,48.9844,8.39199,115.934
T,48.9844,8.39199,115.953
T,48.9844,8.39198,115.946
T,48.9844,8.39197,115.942
T,48.9845,8.39196,115.962
T,48.9845,8.39194,115.983
T,48.9845,8.39193,115.991
T,48.9845,8.39192,115.977
T,48.9845,8.39192,115.959
T,48.9845,8.39192,115.957
T,48.9845,8.39193,115.965
T,48.9846,8.39195,115.964
T,48.9846,8.39196,115.947
T,48.9846,8.39198,115.936
T,48.9846,8.39201,115.876
T,48.9847,8.39203,115.86
T,48.9847,8.39205,115.801
T,48.9847,8.39208,115.797
T,48.9847,8.3921,115.774
T,48.9848,8.39213,115.757
T,48.9848,8.39216,115.736
T,48.9848,8.39219,115.763
T,48.9849,8.39221,115.748
T,48.9849,8.39224,115.746
T,48.9849,8.39227,115.767
T,48.985,8.39229,115.72
T,48.985,8.39232,115.705
T,48.985,8.39234,115.701
T,48.9851,8.39237,115.687
T,48.9851,8.3924,115.678
T,48.9851,8.39242,115.715
T,48.9852,8.39245,115.719
T,48.9852,8.39248,115.734
T,48.9852,8.39251,115.728
T,48.9853,8.39253,115.756
T,48.9853,8.39256,115.743
T,48.9853,8.39258,115.742
T,48.9854,8.3926,115.727
T,48.9854,8.39262,115.746
T,48.9854,8.39264,115.773
T,48.9854,8.39266,115.782
T,48.9855,8.39267,115.815
T,48.9855,8.39268,115.832
T,48.9855,8.39269,115.871
T,48.9855,8.3927,115.917
T,48.9855,8.3927,115.952
T,48.9855,8.3927,115.949
T,48.9855,8.39269,115.92
T,48.9856,8.39268,115.903
T,48.9856,8.39265,115.936
T,48.9856,8.39262,115.953
T,48.9856,8.39259,115.919
T,48.9856,8.39256,115.979
T,48.9856,8.39252,116.005
T,48.9856,8.39248,116.036
T,48.9856,8.39244,116.037
T,48.9857,8.3924,116.016
T,48.9857,8.39235,116.01
T,48.9857,8.39231,116.004
T,48.9857,8.39226,115.994
T,48.9857,8.39222,115.992
T,48.9857,8.39218,115.978
T,48.9857,8.39213,115.993
T,48.9858,8.39209,116.005
T,48.9858,8.39205,116
T,48.9858,8.392,116.013
T,48.9858,8.39196,116.024
T,48.9858,8.39193,116.034
T,48.9858,8.39189,116.061
T,48.9858,8.39186,116.087
T,48.9859,8.39183,116.11
T,48.9859,8.39181,116.118
T,48.9859,8.39178,116.145
T,48.9859,8.39175,116.174
T,48.9859,8.39171,116.204
T,48.9859,8.39168,116.22
T,48.9859,8.39164,116.148
T,48.9859,8.3916,116.096
T,48.9859,8.39156,116.074
T,48.986,8.39151,116.058
T,48.986,8.39147,116.086
T,48.986,8.39142,116.111
T,48.986,8.39137,116.12
T,48.986,8.39132,116.13
T,48.986,8.39128,116.13
T,48.9861,8.39123,116.172
T,48.9861,8.39118,116.141
T,48.9861,8.39114,116.155
T,48.9861,8.39109,116.149
T,48.9861,8.39105,116.144
T,48.9861,8.391,116.153
T,48.9861,8.39096,116.122
T,48.9862,8.39092,116.104
T,48.9862,8.39089,116.126
T,48.9862,8.39086,116.116
T,48.9862,8.39083,116.137
T,48.9862,8.3908,116.134
T,48.9862,8.39077,116.128
T,48.9862,8.39075,116.115
T,48.9862,8.39072,116.115
T,48.9862,8.3907,116.094
T,48.9862,8.39067,116.066
T,48.9862,8.39065,116.03
T,48.9861,8.39063,115.993
T,48.9861,8.39061,115.994
T,48.9861,8.3906,115.996
T,48.9861,8.39058,115.994
T,48.986,8.39056,115.957
T,48.986,8.39054,115.972
T,48.986,8.39052,115.984
T,48.986,8.3905,115.96
T,48.9859,8.39047,115.93
T,48.9859,8.39045,115.907
T,48.9859,8.39043,115.894
T,48.9858,8.3904,115.881
T,48.9858,8.39038,115.817
T,48.9858,8.39035,115.811
T,48.9857,8.39033,115.808
T,48.9857,8.39031,115.804
T,48.9857,8.39028,115.782
